id_reseña,Fecha,Título,Contenido,Empresa,Calificación
Bershka_N154,2025-11-05 22:29:43+00:00,"Bien el producto, mal el día de llegada","Bien el producto, pero muy mal el día de llegada. Pagamos express para tenerlo por Halloween y llega 6 días tarde. Era para disfraz de Halloween que no se pudo usar. Teóricamente llegaba un día antes del viernes 31 de octubre",Bershka,2
Bershka_N153,2025-11-05 20:30:50+00:00,LA ENTREGA DEL PEDIDO PESIMA,"ME HAN PARTIDO EL PEDIDO EN 2 Y 1 LLEGO EN DOS DÍAS Y EL OTRO, SIENDO EN LA MISMA DIRECCION, LO HAN DEVUELTO DICIENDO QUE LA DIRECCION ERA INCORRECTA, DESPUES DE ESTAR MAS DE UNA SEMANA MAREANDOME. ENTIENDO QUE LA CULPA ES DEL TRANSPORTISTA, CORREOS EN ESTE CASO, PERO YO ME HE QUE DADO SIN LOS ARTICULOS Y OBVIO, QUE NO VOLVERÉ A PEDIRLO EN ESTA TIENDA.",Bershka,1
Bershka_N152,2025-11-05 17:39:15+00:00,Nunca llegó el pedido y se desentiende,Hice un pedido online de dos pares de zapatos que venían por separado. Recibo uno sin problema y el otro nunca llega. Cuando llamo me dicen que alguien ha firmado la recogida y nunca me dicen quien fue. Se lavan las manos y nunca llegó. No vuelvo a comprar a estos impresentables!,Bershka,1
Bershka_N151,2025-11-05 16:27:18+00:00,Me ha gustado mucho todo,"Me ha gustado mucho todo, no ha sido difícil pedirlo y que ha llegado rápido",Bershka,5
Bershka_N150,2025-11-05 16:12:35+00:00,Me enviaron el jersey roto y en la…,"Me enviaron el jersey roto y en la etiqueta ponia q valia 13.99 y me cobraron 19.99. Lamentable. Me puse en contacto con atención al cliente via chat y pedi la hoja de reclamaciones, me dijeron que me enviaban la enviaban y no la he recibido. Pathetic",Bershka,1
Bershka_N149,2025-11-05 09:57:34+00:00,Perfecto raqida entrega,Perfecto raqida entrega,Bershka,5
Bershka_N148,2025-11-05 02:58:27+00:00,Pedí unos tennis el 17 de octubre,"Pedí unos tennis el 17 de octubre, con entrega estimada para el 29-30 de octubre. Y pedí una chamarra el 24 de octubre, entrega estimada para el 30-30 de octubre. Para empezar, la chamarra la recibí hoy 4 de noviembre, claramente paso la fecha de entrega estimada. Y lo peor, los tennis no me han llegado y el paquete no se ha movido ni ha salido del almacén. Deben mejorar su estadística para dar una fecha de entrega estimada REAL, siempre se pasan los paquetes. No sirve de nada que den una fecha si no van a llegar para entonces. Además, se entiende que tienen muchos almacenes en el mundo, pero al momento de hacer el pedido debería ser específico el lugar de donde viene el paquete para que uno pueda decidir si pedirlo o no (por tiempos de entrega) su servicio asistido por Whatsapp es muy ineficiente, no volveré a hacer un pedido ya que me lleguen los tennis, que seguramente a como se ve, tardarán mucho más en llegar, casi el mes, así que no recomiendo esta app por ineficiencia, sus productos están bien, pero les hace falta mejorar mucho la logística y claridad al cliente.",Bershka,1
Bershka_N147,2025-11-04 20:04:27+00:00,Personalmente la entrega fue antes de…,"Personalmente la entrega fue antes de lo previsto con GLS, las tallas coinciden con lo de la web y todo correcto ✔️ Gracias",Bershka,4
Bershka_N146,2025-11-04 19:18:08+00:00,El servicio de entrega ha sido lamentable,"El servicio de entrega ha sido lamentable, según correos han intentado realizar dos entregas, cosa que es falsa. Porque en las dos supuestas entregas, yo estaba en casa y no timbraron ninguna de las dos. Si pago envio a casa, es para que se entregue en casa, no para que se deje en la oficina de correos a 15 min de mi casa en coche. Lamentable.",Bershka,1
Bershka_N145,2025-11-04 15:09:46+00:00,He pagado más de lo que pone la etiqueta,"Buenos días. He pagado 22,99€ por un pantalón corto vaquero que he pedido online, pero la etiqueta del pantalón pone que tiene un 30% de descuento, por lo tanto, pone que cuesta 16,99€. Agradecería saber cómo solicitar la diferencia que he pagado de más.",Bershka,3
Bershka_N144,2025-11-03 22:46:45+00:00,Falta de compromiso y seriedad,"Pedí un paquete el día 30 de octubre y solicité y PAGUÉ expresamente por el envío express (5.95 €), ya que necesitaba que llegase al día siguiente. En el momento en que tenía que escoger el método de envío ponía explícitamente ""recíbelo mañana, viernes 31 de octubre"", pues bien, resulta que hasta día de hoy, 3 de noviembre mi paquete no ha sido entregado... lamentable servicio y lamentable servicio de atención al cliente, ya que al querer contactar con la empresa ni responden.",Bershka,1
Bershka_N143,2025-11-03 14:36:05+00:00,Mi experiencia con Bershka,"Mi experiencia con Bershka, siempre es estupenda! Tanto la atención, como el seguimiento de los pedidos, etc. Inditex es una gran empresa!",Bershka,5
Bershka_N142,2025-11-03 14:20:25+00:00,Me ha gustado mucho entrega rápida y el…,Me ha gustado mucho entrega rápida y el producto igual que en la imagen de la página web volveré a compra seguro.,Bershka,5
Bershka_N141,2025-11-03 14:10:08+00:00,Soy muy contenta con servicio rápido y…,Soy muy contenta con servicio rápido y claro igual como con el producto que hay pedido. Gracias!,Bershka,5
Bershka_N140,2025-11-01 20:04:36+00:00,Muy contenta con la compra,"Muy contenta con la compra, llegó enseguida a la tienda, la recogida fácil y rápida, el embalaje bien.",Bershka,5
Bershka_N139,2025-11-01 19:41:06+00:00,Use 1 vez mi prenda y le salieron bolas…,"Use 1 vez mi prenda y le salieron bolas horribles, ni siquiera lo he lavado. Solo me lo puse para una cena.",Bershka,2
Bershka_N138,2025-11-01 17:06:49+00:00,Pésima experiencia,"Nunca compren a esta tienda, evíten gastar su dinero, pedí dos pantalones vaqueros talla 28, me llegó el paquete el jueves con un pantalón y talla 38, gaste, ya estoy tramitando la devolución, pero pésima experiencia, me arrepiento porque pude mejor comprar de otras tiendas y es dinero tirado a la basura, ya me comuniqué con paquetería y ellos no tiene el otro pantalon, entonces supongo que fue en almacén donde no empaquetaron bien y entregaron talla que no pedí",Bershka,1
Bershka_N137,2025-11-01 03:38:00+00:00,Bershka del CC.Los Alfares de Talavera de la Reinaa,"Me gusta mucho la tienda Bershka del centro comercial Los Alfares de Talavera de la Reina. Las empleadas son muy amables, en especial Mónica, una dependiente rubia, con gafas, muy maja que, la tarde del viernes, estaba en los probadores y me ayudó en dos o tres ocasiones. La chica que me atendió en caja también fue muy simpática.",Bershka,5
Bershka_N136,2025-11-01 02:40:56+00:00,Pedí una botas de caña alta,"Pedí una botas de caña alta, me las mandaron dobladas haciendo que perdieran completamente su estructura, están todas arrugadas, no me explico como se le ocurrió mandarlas así solo en un sobre. Me parece pésimo su embalaje y arruinaron por completo mi experiencia de compra.",Bershka,1
Bershka_N135,2025-10-31 16:30:20+00:00,Pantalón tachuelas,"Llego pronto, le queda genial, está hecho a su medida y encima a mitad de precio, una oferta increible!! Muy contentas con la compra y el envío.",Bershka,5
Bershka_N134,2025-10-31 13:21:18+00:00,Hemos tenido que ir a recoger el pedido…,Hemos tenido que ir a recoger el pedido a correos porque la entrega estaba establecida para el día 27 de octubre y hoy día 31 nos hemos tenido que desplazar a recogerlo porque nadie nos daba una explicación.,Bershka,1
Bershka_N133,2025-10-31 05:20:59+00:00,Ropa sucia,"Mi paquete tardo en llegar, nunca me había pasado eso en otros pedidos, también, mi vestido venía sucio. Tanto espere y me decepcione",Bershka,5
Bershka_N132,2025-10-30 22:28:34+00:00,Mi paquete fue separado en dos…,"Mi paquete fue separado en dos paquetes, uno de ellos llego a mi casa y el otro no. Diss despues una vecina nos comento que una amiga suya, 5 portales antes del nuestro, tenia el paquete, porque habian decidido dejarlo en una peluqueria que ni siquiera estaba en el mismo portal y sin avisarme. Tuve la suerte de que la peluquera era una conocida de mis vecinos y se lo comentó en vez de quedarselo. Pero me parece horrible, los dos paquetes llegaron a la vez y decidieron ignorar completamente lo que ponia y dejarlo en otro portal, cuando en los dos ponia exactamente la misma informacion. Y ni siquiera me avisaron de que lo habian dejado alli, me ponia en la aplicacion que los do habian sido entregados correctamente. Horrible todo.",Bershka,1
Bershka_N131,2025-10-30 22:15:05+00:00,Entregaron el paquete a otra persona y no lo tengo,"No sé cómo es el pedido y si me gusta, porque no lo he recibido. Su compañía de envíos entregó mi paquete a otra persona, no sé quién es ni nada. Tampoco me lo han solucionado ni devuelto el dinero. Y esa persona tampoco se ha preocupado por contactar conmigo ni nada, en fin.",Bershka,1
Bershka_N130,2025-10-30 13:26:18+00:00,Servicio de entrega HORRIBLE,"Las prendas eran correctas, pero la empresa que entrega los paquetes ha sido un desastre. Primero, llamé porque no me llegaba el paquete y me dijeron que lo habían dejado en una tienda cercana (sin haber dado mi consentimiento). Fui y resulta que el paquete no estaba así que volví a llamar y me dijeron que llegaría en un par días. Tuve que llamar una tercera vez y está vez sí que lo entregaron, pero no en mi casa (dirección que había proporcionado), sino en la tienda que ellos habían elegido sin tenerme en cuenta. Me parece una vergüenza que Bershka colabore con una empresa tan poco seria como Ecoscooting.",Bershka,1
Bershka_N129,2025-10-29 21:05:01+00:00,La ropa es de muy buena calidad 👌,Sin contenido,Bershka,5
Bershka_N128,2025-10-29 20:03:52+00:00,Mi experiencia desde un principio fue 🔝…,Mi experiencia desde un principio fue 🔝 desde la app y la empresa GLS por quien fue enviada ha hecho una buena entrega. Ha llegado antes de la fecha estimada. Las prendas han llegado en perfecto estado y el envoltorio igual. Muy satisfecho 😃,Bershka,5
Bershka_N127,2025-10-29 19:53:24+00:00,El pedido llegó con 1 día,"El pedido llegó con 1 día, según lo previsto, responsabilidad? Ninguna.",Bershka,1
Bershka_N126,2025-10-29 17:52:42+00:00,NO COMPREIS EN BERSHKA,"Tres semanas esperando un pedido y ni rastro del paquete. Voy a la tienda y nadie sabe absolutamente nada, parece que están más perdidos que yo. Llamo al servicio al cliente y me cuelgan o me atiende un bot inútil que no resuelve nada. De verdad, una vergüenza de atención. Cero comunicación, cero responsabilidad. Si esto es lo que Bershka llama servicio, mejor compren en cualquier otro sitio.",Bershka,1
Bershka_N125,2025-10-29 16:39:09+00:00,Me encanta a tiempo y de buena calidad,Me encanta a tiempo y de buena calidad,Bershka,5
Bershka_N124,2025-10-29 04:54:00+00:00,Todo perfecto,"Todo perfecto, el pedido llegó muy rápido y en excelente condiciones. Muy satisfecha con la compra, recomendado al 100%.",Bershka,1
Bershka_N123,2025-10-28 19:10:33+00:00,Muy rápida la entrega,Muy rápida la entrega ! Y excelente calidad,Bershka,5
Bershka_N122,2025-10-28 18:09:42+00:00,Es la tercera vez q pido online y me…,Es la tercera vez q pido online y me mandan mal etiquetado el producto y ahora me toca a mí ir a 20 km a devolverlo no es de fiar el servicio online,Bershka,1
Bershka_N121,2025-10-28 15:14:53+00:00,Hace 3 semanas que hice un pedido y aún…,"Hace 3 semanas que hice un pedido y aún no lo he recibido, pido explicaciones y me dicen que no saben qué pasa que lo investigarán. El dinero lo cobran inmediatamente. Pido su devolución y me lo deniegan hasta que no se sepa lo que ha pasado. El estado del pedido ni si quiera está entregado la transportista",Bershka,1
Bershka_N120,2025-10-28 14:46:16+00:00,He hecho el pedido el sábado y me ha…,He hecho el pedido el sábado y me ha llegado el martes rápido i sin inconvenientes,Bershka,5
Bershka_N119,2025-10-28 05:45:26+00:00,Envío rápido y seguro 💯💯,Sin contenido,Bershka,5
Bershka_N118,2025-10-27 20:47:44+00:00,Perfecto!,"Muy muy rápido, producto en perfecto estado, seguimiento perfecto... Increíble!!",Bershka,5
Bershka_N117,2025-10-27 17:43:46+00:00,El pedido llegó muy rápido y perfecto.,Sin contenido,Bershka,5
Bershka_N116,2025-10-27 15:16:57+00:00,Hice el pedido en la misma tienda y al…,Hice el pedido en la misma tienda y al probarse una talla menor indiqué que la que le habían pedido no me serviría que tendría que cambiarla y el personal nadie sabía hacerlo ahora me tengo que desplazar 70 km para devolución,Bershka,1
Bershka_N115,2025-10-27 14:37:56+00:00,Una compra perfecta.,La experiencia sobre mi pedido ha sido perfecta. La prenda era exacta al anuncio y las tallas coincidían muy buena calidad. La fecha de entrega cumplía con exactitud a la indicada. Así da gusto comprar a sido todo una maravilla. Muchas gracias,Bershka,5
Bershka_N114,2025-10-27 10:50:52+00:00,Me sale paquete entregado y no lo he…,Me sale paquete entregado y no lo he recibido,Bershka,1
Bershka_N113,2025-10-27 03:10:06+00:00,La compra llegó en el tiempo y lugar…,La compra llegó en el tiempo y lugar acordado...Todo muy bien.,Bershka,5
Bershka_N112,2025-10-27 02:18:23+00:00,Tardo en llegar,Tardo en llegar,Bershka,3
Bershka_N111,2025-10-26 00:37:22+00:00,Que es fácil de comprar y si no te agrada lo q compraste te lo pueden cambiar,"Es confiable comprar en línea, el producto que compre viene como se ve en el catálogo.",Bershka,5
Bershka_N110,2025-10-25 21:05:05+00:00,Fatal,"Fatal, pésimo no se porque me mandan un correo diciendo que me ha llegado el pedido y no es así. He hablado con atención al cliente ya 2 veces y hoy me mandan un correo de que me ha llegado un paquete y no es así. Llevo esperando muchos días y no hay respuesta",Bershka,1
Bershka_N109,2025-10-25 19:39:21+00:00,Llego antes de lo esperado y muy amable…,Llego antes de lo esperado y muy amable el repartidor. 👍,Bershka,5
Bershka_N108,2025-10-25 16:43:42+00:00,Me llegó todo bien,"Me llegó todo bien, lo único que me parece incómodo para recoger en tienda que la ropa que te llegue esté dentro de unas cajas enormes, preferiría bolsas o al menos que en las tiendas hubiera unos cubos de basura para poder tirarlas gracias.",Bershka,3
Bershka_N107,2025-10-24 15:48:30+00:00,Vuelvo a la carga con el pedido erróneo…,"Vuelvo a la carga con el pedido erróneo que recibí hace dos días. Debe ser el de otra persona. Ayer por fin contacto con el servicio de atención al cliente, la persona que me atendió no parecía muy bien saber qué hacer pues me tuvo media hora de reloj al teléfono para al finalizar simplemente decirme que había elevado la incidencia al departamento correspondiente. Le pregunté en qué plazo se iban a poner en contacto conmigo para solucionarlo y me dijo que no había plazo. 24 horas después de puesta la incidencia aún no me han contactado. Un servicio al cliente LAMENTABLE. Todos entendemos un error, pero si lo cometes, arréglalo cuanto antes!!",Bershka,1
Bershka_N106,2025-10-24 12:31:23+00:00,muy rapido,"lo pedi el lunes y me llego el miercoles, muy rapido y sin problemas, además te van comunicando todo el proceso.",Bershka,5
Bershka_N105,2025-10-24 01:19:45+00:00,Is cool jacket what I bought,Sin contenido,Bershka,5
Bershka_N104,2025-10-23 21:33:21+00:00,Me encanta bershka,Muy rápidos! Y amables,Bershka,5
Bershka_N103,2025-10-23 20:57:19+00:00,Terrible,"Terrible, menuda sorpresa ,cuando he llegado a casa y he visto que no era mi pedido!!",Bershka,1
Bershka_N102,2025-10-23 19:22:48+00:00,El servicio de transporte con más de 15…,El servicio de transporte con más de 15 días de retraso,Bershka,1
Bershka_N101,2025-10-23 16:52:57+00:00,Las botas me cogí un número más y…,"Las botas me cogí un número más y acerté , son altas de tacón pero muy cómodas .Y el pedido me llegó sin coste al día siguiente. Estoy super contenta.",Bershka,5
Bershka_N100,2025-10-23 15:17:40+00:00,"Bien la compra, mal la empresa de transporte","Muy bien el proceso de compra y el tiempo de entrega, pero la empresa elegida para el envío muy mal. CTT ha buscado al conserje para entregar el paquete en lugar de llamar a mi casa y subirlo. No finalizan su trabajo.",Bershka,4
Bershka_N99,2025-10-23 12:47:37+00:00,Una semana,"Una semana, cantidad de horas perdidas, más de 10 llamadas, 10 mails, 6 chats onlines, y multitud de quebraderos de cabeza, para poder recoger el paquete en el punto de recogida, por un error en el etiquetaje, por reutilizar etiquetas usadas. Vergonzoso!",Bershka,1
Bershka_N98,2025-10-23 12:02:57+00:00,Super,Super. Entregada en tiempo record.,Bershka,5
Bershka_N97,2025-10-22 17:56:04+00:00,Me encantó la chaqueta que me pedí,"Me encantó la chaqueta que me pedí, llego a tiempo y super rápido",Bershka,5
Bershka_N96,2025-10-22 16:38:21+00:00,Mucha accesibilidad de tallas y…,Mucha accesibilidad de tallas y colores. Entrega rápida y perfecta.,Bershka,4
Bershka_N95,2025-10-22 16:14:04+00:00,Llego tarde,"Me dijeron que llegaba del 20 al 21, llegó el 22 y aparte la persona que me entregó el pedido me dijo que no puse el portal en los datos, lo revisé y lo ponía.",Bershka,3
Bershka_N94,2025-10-22 15:06:38+00:00,Muy mal,"Muy mal, nos ha llegado el pedido abierto y se lo han dejado a un vecino sin permiso, pondré una reclamación para que nos devuelvan el dinero",Bershka,1
Bershka_N93,2025-10-22 14:34:39+00:00,Horrible trato en entrega en tienda,El pedido online fácil y rápido pero la entrega en tienda... Parece que estás pidiendo un gran favor! Te mandan a probadores donde no hay nadie ni avisan para que te atienda alguien y cuando alguien se digna a venir te atienden perdonándote la vida,Bershka,3
Bershka_N92,2025-10-22 14:33:59+00:00,llego 5 dias tarde y me pillo de viaje,"llego 5 dias tarde y me pillo de viaje, ya no se puede devolver. sin ningun tipo de explicacion",Bershka,1
Bershka_N91,2025-10-22 13:57:51+00:00,DEVOLUCIÓN NO PROCESADA,"Fuí a recoger el pedido en tienda (GV2 - Hospitalet LL) el pasado 17/10/2025 y me probé los articulos recogidos. Devolví en tienda el mismo dia uno de los artículos, y a fecha de hoy 22/10/2025 no he recibido el correo de confirmación de devolución ni el importe del articulo (25.99)",Bershka,3
Bershka_N90,2025-10-22 12:45:15+00:00,Reclamación artículo no recibido,"El servicio de reclamaciones es muy malo, de lo peor, hablas con gente que está en Latinoamérica, compró en varias páginas y esta es la peor. He recibido un pedido el 08/10/25 y me falta un artículo, he puesto una reclamación y no me dan solución, un artículo cuyo valor es inferior a 30€, es una toma dura de pelo, un imperio como Inditex que no sean capaces de dar solución a algo tan simple, y te dicen que no puedes hablar con nadie que tienes que esperar y han pasado 3 semanas.",Bershka,1
Bershka_N89,2025-10-22 07:51:01+00:00,Todo muy bien y muy bonito todo gracias…,Todo muy bien y muy bonito todo gracias un saludo,Bershka,5
Bershka_N88,2025-10-21 21:11:39+00:00,Todo bien y muy rápido!,Sin contenido,Bershka,5
Bershka_N87,2025-10-21 19:50:47+00:00,Mal servicio al cliente,"A la hora de pedir ha sido bastante buena y la entrega con rapidez, pero el servicio a cliente a sido pésimo. Un chico entregó el paquete de muy mala gana y empujó a mi abuela a la hora de entrar al ascensor, que no se vuelva a repetir.",Bershka,2
Bershka_N86,2025-10-21 17:13:16+00:00,All perfect,Sin contenido,Bershka,5
